year,title,bechdel_pass,rated,language,country,writer,imdb_rating,director,actors,genre,type,imdb_votes,runtime_mins,award_bn,primary_country,primary_language,primary_genre,primary_director,primary_writer
1946,It’s a Wonderful Life,1,Approved,English,USA,"Frances Goodrich (screenplay), Albert Hackett (screenplay), Frank Capra (screenplay), Jo Swerling (additional scenes), Philip Van Doren Stern (story)",8.7,Frank Capra,"James Stewart, Donna Reed, Lionel Barrymore, Thomas Mitchell","Drama, Family, Fantasy",movie,NA,130,1,USA,English,Drama,Frank Capra,Frances Goodrich (screenplay)
1946,The Jolson Story,0,Approved,English,USA,"Harry Chandlee (adaptation), Stephen Longstreet (screenplay), Andrew Solt (adaptation)",7.6,Alfred E. Green,"Larry Parks, Evelyn Keyes, William Demarest, Bill Goodwin","Biography, Drama, Music",movie,NA,128,1,USA,English,Biography,Alfred E. Green,Harry Chandlee (adaptation)
1946,Gilda,0,TV-PG,"English, Spanish, French, German",USA,"E.A. Ellington (story), Jo Eisinger (adaptation), Marion Parsonnet (screenplay)",7.8,Charles Vidor,"Rita Hayworth, Glenn Ford, George Macready, Joseph Calleia","Drama, Film-Noir, Romance",movie,NA,110,1,USA,English,Drama,Charles Vidor,E.A. Ellington (story)
1946,The Strange Woman,1,NA,English,USA,"Herb Meadow (screenplay), Ben Ames Williams (novel)",6.6,"Edgar G. Ulmer, Douglas Sirk","Hedy Lamarr, George Sanders, Louis Hayward, Gene Lockhart","Drama, Film-Noir, Thriller",movie,742,100,0,USA,English,Drama,Edgar G. Ulmer,Herb Meadow (screenplay)
1946,My Darling Clementine,0,Not Rated,"English, Spanish",USA,"Samuel G. Engel (screen play), Winston Miller (screen play), Sam Hellman (from a story by), Stuart N. Lake (based on a book by)",7.8,John Ford,"Henry Fonda, Linda Darnell, Victor Mature, Cathy Downs","Drama, Western",movie,NA,97,1,USA,English,Drama,John Ford,Samuel G. Engel (screen play)
1946,The Best Years of Our Lives,0,NA,English,USA,"Robert E. Sherwood (screen play), MacKinlay Kantor (from a novel by)",8.3,William Wyler,"Myrna Loy, Fredric March, Dana Andrews, Teresa Wright","Drama, Romance, War",movie,NA,172,1,USA,English,Drama,William Wyler,Robert E. Sherwood (screen play)
1946,Dressed to Kill,1,Approved,English,USA,"Arthur Conan Doyle (story), Frank Gruber (adaptation), Leonard Lee (screenplay)",7.1,Roy William Neill,"Basil Rathbone, Nigel Bruce, Patricia Morison, Edmund Breon","Crime, Mystery",movie,NA,76,0,USA,English,Crime,Roy William Neill,Arthur Conan Doyle (story)
1946,Duel in the sun,0,Unrated,English,USA,"David O. Selznick (screenplay), Niven Busch (suggested by a novel by), Oliver H.P. Garrett (adaptation)",7,"King Vidor, Otto Brower, William Dieterle, Sidney Franklin, William Cameron Menzies, David O. Selznick, Josef von Sternberg","Jennifer Jones, Joseph Cotten, Gregory Peck, Lionel Barrymore","Drama, Romance, Western",movie,NA,129,1,USA,English,Drama,King Vidor,David O. Selznick (screenplay)
1947,Black Narcissus,1,Not Rated,English,UK,"Rumer Godden (adapted from the novel by), Michael Powell, Emeric Pressburger",8,"Michael Powell, Emeric Pressburger","Deborah Kerr, Flora Robson, Jenny Laird, Judith Furse",Drama,movie,NA,100,1,UK,English,Drama,Michael Powell,Rumer Godden (adapted from the novel by)
1947,The Exile,0,Approved,"English, French",USA,"Douglas Fairbanks Jr., Cosmo Hamilton (novel)",6.9,Max Ophüls,"Douglas Fairbanks Jr., Maria Montez, Rita Corday, Henry Daniell","Adventure, Romance",movie,231,95,0,USA,English,Adventure,Max Ophüls,Douglas Fairbanks Jr.
1947,Odd Man Out,0,NA,English,UK,"F.L. Green (by), F.L. Green (screenplay), R.C. Sherriff (screenplay)",7.8,Carol Reed,"James Mason, Robert Newton, Cyril Cusack, F.J. McCormick","Crime, Drama, Film-Noir",movie,NA,116,1,UK,English,Crime,Carol Reed,F.L. Green (by)
1947,Good News,0,Approved,English,USA,"Lew Brown (play), Laurence Schwab (play), Frank Mandel (play), Buddy G. DeSylva (play), Ray Henderson (play), Betty Comden (screenplay), Adolph Green (screenplay)",8.2,Charles Walters,"June Allyson, Peter Lawford, Patricia Marshall, Joan McCracken","Comedy, Musical, Romance",movie,NA,93,0,USA,English,Comedy,Charles Walters,Lew Brown (play)
1947,The Shocking Miss Pilgrim,1,Approved,English,USA,"George Seaton (written for the screen by), Ernest Maas (from a story by), Frederica Sagor (from a story by)",6.4,"George Seaton, Edmund Goulding, John M. Stahl","Betty Grable, Dick Haymes, Anne Revere, Allyn Joslyn","Comedy, Musical, Romance",movie,219,85,0,USA,English,Comedy,George Seaton,George Seaton (written for the screen by)
1947,The Egg and I,1,Approved,English,USA,"Betty MacDonald (novel), Chester Erskine (written for the screen by), Fred F. Finklehoffe (written for the screen by)",7.2,Chester Erskine,"Claudette Colbert, Fred MacMurray, Marjorie Main, Louise Allbritton","Comedy, Romance",movie,NA,108,0,USA,English,Comedy,Chester Erskine,Betty MacDonald (novel)
1947,The Paradine Case,0,Approved,English,USA,"Robert Hichens (from the novel by), Alma Reville (adaptation), David O. Selznick (screen play)",6.6,Alfred Hitchcock,"Gregory Peck, Ann Todd, Charles Laughton, Charles Coburn","Crime, Drama, Romance",movie,NA,125,0,USA,English,Crime,Alfred Hitchcock,Robert Hichens (from the novel by)
1947,The Ghost and Mrs. Muir,1,Approved,English,USA,"Philip Dunne (screen play), R.A. Dick (from the novel by)",7.9,Joseph L. Mankiewicz,"Gene Tierney, Rex Harrison, George Sanders, Edna Best","Drama, Fantasy, Mystery",movie,NA,104,0,USA,English,Drama,Joseph L. Mankiewicz,Philip Dunne (screen play)
1947,Gunfighters,0,NA,English,USA,"Zane Grey (novel), Alan Le May (screenplay)",6.3,George Waggner,"Randolph Scott, Barbara Britton, Bruce Cabot, Charley Grapewin","Action, Drama, Romance",movie,207,87,0,USA,English,Action,George Waggner,Zane Grey (novel)
1947,Crossfire,0,Unrated,English,USA,"John Paxton (screenplay), Richard Brooks (novel)",7.4,Edward Dmytryk,"Robert Young, Robert Mitchum, Robert Ryan, Gloria Grahame","Crime, Drama, Film-Noir",movie,NA,86,1,USA,English,Crime,Edward Dmytryk,John Paxton (screenplay)
1948,Red River,0,Approved,"English, Spanish",USA,"Borden Chase (screenplay), Charles Schnee (screenplay), Borden Chase (from ""The Saturday Evening Post"" story)",7.8,"Howard Hawks, Arthur Rosson","John Wayne, Montgomery Clift, Joanne Dru, Walter Brennan","Action, Adventure, Romance",movie,NA,133,1,USA,English,Action,Howard Hawks,Borden Chase (screenplay)
1948,The Red Shoes,1,Not Rated,"English, French, Russian",UK,"Hans Christian Andersen (fairy tale), Emeric Pressburger (original screenplay), Keith Winter (additional dialogue), Michael Powell, Emeric Pressburger",8.3,"Michael Powell, Emeric Pressburger","Marius Goring, Jean Short, Gordon Littmann, Julia Lang","Drama, Music, Romance",movie,NA,133,1,UK,English,Drama,Michael Powell,Hans Christian Andersen (fairy tale)
1948,Hamlet,0,Unrated,English,UK,William Shakespeare (by),7.9,Laurence Olivier,"John Laurie, Esmond Knight, Anthony Quayle, Niall MacGinnis",Drama,movie,NA,155,1,UK,English,Drama,Laurence Olivier,William Shakespeare (by)
1948,Bonnie Prince Charlie,0,NA,English,UK,Clemence Dane,4.9,"Anthony Kimmins, Alexander Korda","David Niven, Margaret Leighton, Judy Campbell, Jack Hawkins","Biography, Drama, History",movie,122,98,0,UK,English,Biography,Anthony Kimmins,Clemence Dane
1948,Enchantment,1,NA,English,"UK, USA","John Patrick (screenplay), Rumer Godden (novel)",7.3,Irving Reis,"David Niven, Teresa Wright, Evelyn Keyes, Farley Granger","Drama, Romance",movie,531,100,0,UK,English,Drama,Irving Reis,John Patrick (screenplay)
1948,Anna Karenina,0,NA,"English, Italian",UK,"Jean Anouilh (screenplay), Guy Morgan (screenplay), Julien Duvivier (screenplay)",6.7,Julien Duvivier,"Vivien Leigh, Ralph Richardson, Kieron Moore, Hugh Dempster","Drama, Romance",movie,NA,139,0,UK,English,Drama,Julien Duvivier,Jean Anouilh (screenplay)
1948,Command Decision,0,NA,English,USA,"William R. Laidlaw (screenplay), George Froeschel (screenplay), William Wister Haines (play)",7.4,Sam Wood,"Clark Gable, Walter Pidgeon, Van Johnson, Brian Donlevy","War, Drama",movie,NA,112,0,USA,English,War,Sam Wood,William R. Laidlaw (screenplay)
1948,Rudolph the Red-Nosed Reindeer,0,Approved,English,USA,"Robert May (story), Joe Stultz (adaptation)",6.7,Max Fleischer,Paul Wing,"Animation, Short, Family",movie,321,8,0,USA,English,Animation,Max Fleischer,Robert May (story)
1948,Easter Parade,1,Approved,"English, French, Italian",USA,"Frances Goodrich (story), Albert Hackett (story), Sidney Sheldon (screenplay), Frances Goodrich (screenplay), Albert Hackett (screenplay)",7.5,Charles Walters,"Judy Garland, Fred Astaire, Peter Lawford, Ann Miller","Musical, Romance",movie,NA,107,1,USA,English,Musical,Charles Walters,Frances Goodrich (story)
1948,Rope,0,PG,English,USA,"Hume Cronyn (adapted by), Patrick Hamilton (from the play by), Arthur Laurents (screenplay)",8.1,Alfred Hitchcock,"Dick Hogan, John Dall, Farley Granger, Edith Evanson","Crime, Drama, Thriller",movie,NA,80,0,USA,English,Crime,Alfred Hitchcock,Hume Cronyn (adapted by)
1948,The Snake Pit,1,Approved,"English, German",USA,"Frank Partos (screenplay), Millen Brand (screenplay), Mary Jane Ward (based on the novel by)",7.7,Anatole Litvak,"Olivia de Havilland, Mark Stevens, Leo Genn, Celeste Holm",Drama,movie,NA,108,1,USA,English,Drama,Anatole Litvak,Frank Partos (screenplay)
1948,Casbah,0,NA,English,USA,"Henri La Barthe (novel), Leslie Bush-Fekete (screenplay), Arnold Manoff (screenplay), Erik Charell (musical story)",6.4,John Berry,"Yvonne De Carlo, Tony Martin, Peter Lorre, Märta Torén","Crime, Musical",movie,226,94,0,USA,English,Crime,John Berry,Henri La Barthe (novel)
1948,The Fuller Brush Man,0,NA,English,USA,"Roy Huggins (story), Frank Tashlin (screenplay), Devery Freeman (screenplay)",7,S. Sylvan Simon,"Red Skelton, Janet Blair, Don McGuire, Hillary Brooke","Action, Adventure, Comedy",movie,356,93,0,USA,English,Action,S. Sylvan Simon,Roy Huggins (story)
1948,Mr. Blandings Builds His Dream House,1,Approved,English,USA,"Eric Hodgins (novel), Norman Panama (written for the screen by), Melvin Frank (written for the screen by)",7.4,H.C. Potter,"Cary Grant, Myrna Loy, Melvyn Douglas, Reginald Denny","Comedy, Romance",movie,NA,94,0,USA,English,Comedy,H.C. Potter,Eric Hodgins (novel)
1948,The Treasure of the Sierra Madre,0,TV-PG,"English, Spanish",USA,"John Huston (screenplay), B. Traven (based on the novel by)",8.4,John Huston,"Humphrey Bogart, Walter Huston, Tim Holt, Bruce Bennett","Action, Adventure, Drama",movie,NA,126,1,USA,English,Action,John Huston,John Huston (screenplay)
1948,I Remember Mama,1,Approved,"English, Norwegian, Latin, French",USA,"DeWitt Bodeen (screen play), John Van Druten (based upon the play ""I Remember Mama"" adapted by), Kathryn Forbes (novel)",8.4,George Stevens,"Irene Dunne, Barbara Bel Geddes, Oskar Homolka, Philip Dorn","Drama, Family",movie,NA,134,1,USA,English,Drama,George Stevens,DeWitt Bodeen (screen play)
1948,Act of Violence,0,NA,"English, German",USA,"Robert L. Richards (screenplay), Collier Young (story)",7.5,Fred Zinnemann,"Van Heflin, Robert Ryan, Janet Leigh, Mary Astor","Thriller, Film-Noir, Drama",movie,NA,82,0,USA,English,Thriller,Fred Zinnemann,Robert L. Richards (screenplay)
1948,Call Northside 777,0,Approved,"English, Polish",USA,"Jerome Cady (screen play), Jay Dratler (screen play), Leonard Hoffman (adaptation), Quentin Reynolds (adaptation), James P. McGuire (based on articles by)",7.4,Henry Hathaway,"James Stewart, Richard Conte, Lee J. Cobb, Helen Walker","Crime, Drama, Film-Noir",movie,NA,112,1,USA,English,Crime,Henry Hathaway,Jerome Cady (screen play)
1949,The Third Man,0,Not Rated,"English, German, Russian",UK,"Graham Greene (by), Graham Greene (screen play)",8.4,Carol Reed,"Joseph Cotten, Alida Valli, Orson Welles, Trevor Howard","Film-Noir, Mystery, Thriller",movie,NA,93,1,UK,English,Film-Noir,Carol Reed,Graham Greene (by)
1949,The Barkleys of Broadway,1,NA,"English, French",USA,"Betty Comden (original screen play), Adolph Green (original screen play)",7,Charles Walters,"Fred Astaire, Ginger Rogers, Oscar Levant, Billie Burke","Comedy, Musical",movie,NA,109,0,USA,English,Comedy,Charles Walters,Betty Comden (original screen play)
1949,On the Town,1,NA,English,USA,"Adolph Green (screenplay), Betty Comden (screenplay), Adolph Green (based upon the musical play whose book was by), Betty Comden (based upon the musical play whose book was by), Jerome Robbins (idea)",7.7,"Stanley Donen, Gene Kelly","Gene Kelly, Frank Sinatra, Betty Garrett, Ann Miller","Comedy, Musical, Romance",movie,NA,98,1,USA,English,Comedy,Stanley Donen,Adolph Green (screenplay)
1949,Adam’s Rib,1,NA,English,USA,"Ruth Gordon (screen play), Garson Kanin (screen play)",7.6,George Cukor,"Spencer Tracy, Katharine Hepburn, Judy Holliday, Tom Ewell","Comedy, Drama, Romance",movie,NA,101,1,USA,English,Comedy,George Cukor,Ruth Gordon (screen play)
1949,Pinky,1,Approved,English,USA,"Cid Ricketts Sumner (novel), Philip Dunne (screenplay), Dudley Nichols (screenplay)",7.3,"Elia Kazan, John Ford","Jeanne Crain, Ethel Barrymore, Ethel Waters, William Lundigan",Drama,movie,NA,102,0,USA,English,Drama,Elia Kazan,Cid Ricketts Sumner (novel)
1949,Caught,1,NA,English,USA,"Arthur Laurents (screenplay), Libbie Block (novel)",7.2,Max Ophüls,"James Mason, Barbara Bel Geddes, Robert Ryan, Frank Ferguson","Drama, Film-Noir, Thriller",movie,NA,88,0,USA,English,Drama,Max Ophüls,Arthur Laurents (screenplay)
1949,The Set-Up,0,Approved,English,USA,"Art Cohn (screen play), Joseph Moncure March (from the poem by)",7.7,Robert Wise,"Robert Ryan, Audrey Totter, George Tobias, Alan Baxter","Film-Noir, Sport",movie,NA,73,1,USA,English,Film-Noir,Robert Wise,Art Cohn (screen play)
1949,Little Women,1,NA,English,USA,"Andrew Solt (screen play), Sarah Y. Mason (screen play), Victor Heerman (screen play), Louisa May Alcott (from the novel by)",7.3,Mervyn LeRoy,"June Allyson, Peter Lawford, Margaret O'Brien, Elizabeth Taylor","Drama, Family, Romance",movie,NA,122,1,USA,English,Drama,Mervyn LeRoy,Andrew Solt (screen play)
1949,Mighty Joe Young,0,NA,"English, Swahili",USA,"Ruth Rose (screenplay), Merian C. Cooper (from an original story by)",7,Ernest B. Schoedsack,"Terry Moore, Ben Johnson, Robert Armstrong, Mr. Joseph Young","Adventure, Drama, Fantasy",movie,NA,84,1,USA,English,Adventure,Ernest B. Schoedsack,Ruth Rose (screenplay)
1949,The Man on the Eiffel Tower,0,Unrated,"English, French","USA, France","Harry Brown (screenplay), Georges Simenon (novel)",5.9,"Burgess Meredith, Irving Allen, Charles Laughton","Charles Laughton, Franchot Tone, Burgess Meredith, Robert Hutton","Mystery, Thriller",movie,470,97,0,USA,English,Mystery,Burgess Meredith,Harry Brown (screenplay)
1949,Late Spring,1,Not Rated,Japanese,Japan,"Kazuo Hirotsu (based on the novel ""Chichi to musume"" by), Kôgo Noda (screenplay), Yasujirô Ozu (screenplay)",8,Yasujirô Ozu,"Chishû Ryû, Setsuko Hara, Yumeji Tsukioka, Haruko Sugimura",Drama,movie,NA,108,1,Japan,Japanese,Drama,Yasujirô Ozu,"Kazuo Hirotsu (based on the novel ""Chichi to musume"" by)"
1949,A Letter to Three Wives,1,Unrated,English,USA,"Vera Caspary (adaptation), John Klempner (Cosmopolitan Magazine novel), Joseph L. Mankiewicz (screenplay)",7.8,Joseph L. Mankiewicz,"Jeanne Crain, Linda Darnell, Ann Sothern, Kirk Douglas","Drama, Romance",movie,NA,103,1,USA,English,Drama,Joseph L. Mankiewicz,Vera Caspary (adaptation)
1949,Kind Hearts and Coronets,0,Not Rated,English,UK,"Roy Horniman (novel), Robert Hamer (screenplay), John Dighton (screenplay)",8.2,Robert Hamer,"Dennis Price, Valerie Hobson, Joan Greenwood, Alec Guinness","Comedy, Crime",movie,NA,106,1,UK,English,Comedy,Robert Hamer,Roy Horniman (novel)
1949,The Fountainhead,0,Approved,English,USA,"Ayn Rand (screenplay), Ayn Rand (novel)",7.1,King Vidor,"Gary Cooper, Patricia Neal, Raymond Massey, Kent Smith",Drama,movie,NA,114,0,USA,English,Drama,King Vidor,Ayn Rand (screenplay)
1950,All About Eve,1,TV-PG,"English, French",USA,Joseph L. Mankiewicz (written for the screen by),8.4,Joseph L. Mankiewicz,"Bette Davis, Anne Baxter, George Sanders, Celeste Holm",Drama,movie,NA,138,1,USA,English,Drama,Joseph L. Mankiewicz,Joseph L. Mankiewicz (written for the screen by)
1950,Sunset Blvd.,1,Not Rated,English,USA,"Charles Brackett, Billy Wilder, D.M. Marshman Jr.",8.6,Billy Wilder,"William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson","Drama, Film-Noir",movie,NA,110,1,USA,English,Drama,Billy Wilder,Charles Brackett
1950,Cinderella,1,Approved,English,USA,"Charles Perrault (from the original classic by), Bill Peet (story), Erdman Penner (story), Ted Sears (story), Winston Hibler (story), Homer Brightman (story), Harry Reeves (story), Ken Anderson (story), Joe Rinaldi (story)",7.3,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Ilene Woods, Eleanor Audley, Verna Felton, Rhoda Williams","Animation, Family, Fantasy",movie,NA,74,1,USA,English,Animation,Clyde Geronimi,Charles Perrault (from the original classic by)
1950,Rashomon,0,Unrated,Japanese,Japan,"Ryûnosuke Akutagawa (stories), Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay)",8.4,Akira Kurosawa,"Toshirô Mifune, Machiko Kyô, Masayuki Mori, Takashi Shimura","Crime, Drama",movie,NA,88,1,Japan,Japanese,Crime,Akira Kurosawa,Ryûnosuke Akutagawa (stories)
1950,Summer Stock,1,Approved,English,USA,"George Wells (screenplay), Sy Gomberg (screenplay), Sy Gomberg (story)",7.3,Charles Walters,"Judy Garland, Gene Kelly, Eddie Bracken, Gloria DeHaven","Musical, Romance",movie,NA,108,0,USA,English,Musical,Charles Walters,George Wells (screenplay)
1950,The Asphalt Jungle,0,NA,"English, German",USA,"Ben Maddow (screen play), John Huston (screen play), W.R. Burnett (from a novel by)",7.9,John Huston,"Sterling Hayden, Louis Calhern, Jean Hagen, James Whitmore","Crime, Film-Noir, Drama",movie,NA,112,1,USA,English,Crime,John Huston,Ben Maddow (screen play)
1950,Harvey,0,Not Rated,English,USA,"Mary Chase (from the Pulitzer Prize Play by), Mary Chase (screenplay), Oscar Brodney (screenplay)",8.1,Henry Koster,"James Stewart, Josephine Hull, Peggy Dow, Charles Drake","Comedy, Drama",movie,NA,104,1,USA,English,Comedy,Henry Koster,Mary Chase (from the Pulitzer Prize Play by)
1950,Orpheus,0,Unrated,French,France,Jean Cocteau,8.1,Jean Cocteau,"Jean Marais, François Périer, María Casares, Marie Déa","Fantasy, Drama, Romance",movie,NA,95,0,France,French,Fantasy,Jean Cocteau,Jean Cocteau
1950,Born Yesterday,1,TV-PG,English,USA,"Garson Kanin (play), Albert Mannheimer (screenplay)",7.7,George Cukor,"Judy Holliday, Broderick Crawford, William Holden, Howard St. John","Comedy, Drama, Romance",movie,NA,103,1,USA,English,Comedy,George Cukor,Garson Kanin (play)
1950,The Flying Saucer,0,Approved,English,USA,"Mikel Conrad (original story), Howard Irving Young (screen adaptation)",4.2,Mikel Conrad,"Mikel Conrad, Pat Garrison, Hantz von Teuffen, Earle Lyon","Thriller, Sci-Fi",movie,195,69,0,USA,English,Thriller,Mikel Conrad,Mikel Conrad (original story)
